T A_init L S Dead Code 
920 12.000000 195 201 628 1
920 14.000000 269 319 436 1
920 16.000000 212 187 625 1
920 18.000000 232 485 307 1
920 20.000000 162 340 522 1
940 10.000000 0 0 1024 0
940 12.000000 0 0 1024 0
940 14.000000 0 0 1024 0
940 16.000000 62 941 21 1
940 18.000000 32 967 25 1
940 20.000000 44 958 22 1
960 10.000000 0 0 1024 0
960 12.000000 0 0 1024 0
960 14.000000 23 973 28 1
960 16.000000 29 973 22 1
960 18.000000 48 948 28 1
960 20.000000 63 934 27 1
980 10.000000 0 0 1024 0
980 12.000000 0 0 1024 0
980 14.000000 0 0 1024 0
980 16.000000 194 804 26 1
980 18.000000 415 579 30 1
980 20.000000 0 0 1024 0
1000 10.000000 0 0 1024 0
1000 12.000000 0 0 1024 0
1000 14.000000 0 0 1024 0
1000 16.000000 17 67 940 1
1000 18.000000 0 0 1024 0
1000 20.000000 5 7 1012 1
1020 10.000000 0 0 1024 0
1020 12.000000 0 0 1024 0
1020 14.000000 0 0 1024 0
1020 16.000000 5 168 851 1
1020 18.000000 0 0 1024 0
1020 20.000000 184 195 645 1
1000 20.000000 0 0 1024 0
1000 22.000000 11 78 935 1
1000 24.000000 25 96 903 1
1000 26.000000 14 76 934 1
1000 28.000000 13 110 901 1
1000 30.000000 6 67 951 1
1000 32.000000 19 111 894 1
1000 34.000000 16 92 916 1
1000 36.000000 37 215 772 1
1000 38.000000 16 110 898 1
1000 40.000000 13 129 882 1
1000 42.000000 17 142 865 1
1000 44.000000 18 155 851 1
1000 46.000000 16 108 900 1
1000 48.000000 24 135 865 1
1000 50.000000 12 103 909 1
1020 20.000000 0 0 1024 0
1020 22.000000 290 361 373 1
1020 24.000000 193 354 477 1
1020 26.000000 323 330 371 1
1020 28.000000 78 138 808 1
1020 30.000000 308 239 477 1
1020 32.000000 392 428 204 1
1020 34.000000 382 618 24 1
1020 36.000000 556 412 56 1
1020 38.000000 517 494 13 1
1020 40.000000 325 675 24 1
1020 42.000000 362 642 20 1
1020 44.000000 215 795 14 1
1020 46.000000 324 678 22 1
1020 48.000000 526 478 20 1
1020 50.000000 287 713 24 1
1040 20.000000 0 0 1024 0
1040 22.000000 0 0 1024 0
1040 24.000000 0 0 1024 0
1040 26.000000 0 0 1024 0
1040 28.000000 0 0 1024 0
1040 30.000000 98 910 16 1
1040 32.000000 39 962 23 1
1040 34.000000 73 939 12 1
1040 36.000000 33 970 21 1
1040 38.000000 45 952 27 1
1040 40.000000 112 896 16 1
1040 42.000000 94 909 21 1
1040 44.000000 42 960 22 1
1040 46.000000 65 937 22 1
1040 48.000000 80 923 21 1
1040 50.000000 38 974 12 1
1060 20.000000 27 962 35 1
1060 22.000000 15 987 22 1
1060 24.000000 0 0 1024 0
1060 26.000000 12 989 23 1
1060 28.000000 21 971 32 1
1060 30.000000 0 0 1024 0
1060 32.000000 16 984 24 1
1060 34.000000 45 957 22 1
1060 36.000000 28 973 23 1
1060 38.000000 35 965 24 1
1060 40.000000 41 957 26 1
1060 42.000000 45 960 19 1
1060 44.000000 42 956 26 1
1060 46.000000 44 965 15 1
1060 48.000000 52 949 23 1
1060 50.000000 24 982 18 1
1080 20.000000 0 0 1024 0
1080 22.000000 0 0 1024 0
1080 24.000000 0 0 1024 0
1080 26.000000 85 927 12 1
1080 28.000000 0 0 1024 0
1080 30.000000 0 0 1024 0
1080 32.000000 0 0 1024 0
1080 34.000000 140 858 26 1
1080 36.000000 0 0 1024 0
1080 38.000000 90 912 22 1
1080 40.000000 60 943 21 1
1080 42.000000 0 0 1024 0
1080 44.000000 54 951 19 1
1080 46.000000 93 912 19 1
1080 48.000000 60 942 22 1
1080 50.000000 72 929 23 1
1100 20.000000 0 0 1024 0
1100 22.000000 0 0 1024 0
1100 24.000000 951 49 24 1
1100 26.000000 0 0 1024 0
1100 28.000000 0 0 1024 0
1100 30.000000 0 0 1024 0
1100 32.000000 979 22 23 1
1100 34.000000 947 55 22 1
1100 36.000000 938 56 30 1
1100 38.000000 967 36 21 1
1100 40.000000 0 0 1024 0
1100 42.000000 0 0 1024 0
1100 44.000000 979 17 28 1
1100 46.000000 972 31 21 1
1100 48.000000 0 6 1018 1
1100 50.000000 949 51 24 1
1120 20.000000 0 0 1024 0
1120 22.000000 0 0 1024 0
1120 24.000000 6 34 984 1
1120 26.000000 0 0 1024 0
1120 28.000000 0 0 1024 0
1120 30.000000 0 0 1024 0
1120 32.000000 0 0 1024 0
1120 34.000000 37 106 881 1
1120 36.000000 12 49 963 1
1120 38.000000 13 53 958 1
1120 40.000000 45 34 945 1
1120 42.000000 0 0 1024 0
1120 44.000000 11 8 1005 1
1120 46.000000 0 0 1024 0
1120 48.000000 0 3 1021 1
1120 50.000000 62 213 749 1
1140 20.000000 0 0 1024 0
1140 22.000000 0 0 1024 0
1140 24.000000 0 0 1024 0
1140 26.000000 0 0 1024 0
1140 28.000000 11 121 892 1
1140 30.000000 0 0 1024 0
1140 32.000000 0 0 1024 0
1140 34.000000 0 0 1024 0
1140 36.000000 0 0 1024 0
1140 38.000000 0 0 1024 0
1140 40.000000 0 0 1024 0
1140 42.000000 0 0 1024 0
1140 44.000000 0 0 1024 0
1140 46.000000 0 0 1024 0
1140 48.000000 0 0 1024 0
1140 50.000000 246 240 538 1
1160 20.000000 0 0 1024 0
1160 22.000000 0 0 1024 0
1160 24.000000 0 0 1024 0
1160 26.000000 0 0 1024 0
1160 28.000000 0 0 1024 0
1160 30.000000 0 0 1024 0
1160 32.000000 0 0 1024 0
1160 34.000000 0 0 1024 0
1160 36.000000 0 0 1024 0
1160 38.000000 60 859 105 1
1160 40.000000 0 0 1024 0
1160 42.000000 0 0 1024 0
1160 44.000000 0 0 1024 0
1160 46.000000 0 0 1024 0
1160 48.000000 47 926 51 1
1160 50.000000 0 0 1024 0
1180 20.000000 0 0 1024 0
1180 22.000000 0 0 1024 0
1180 24.000000 0 0 1024 0
1180 26.000000 0 0 1024 0
1180 28.000000 0 0 1024 0
1180 30.000000 0 0 1024 0
1180 32.000000 0 0 1024 0
1180 34.000000 0 0 1024 0
1180 36.000000 0 0 1024 0
1180 38.000000 0 0 1024 0
1180 40.000000 0 0 1024 0
1180 42.000000 0 0 1024 0
1180 44.000000 0 0 1024 0
1180 46.000000 0 0 1024 0
1180 48.000000 0 0 1024 0
1180 50.000000 12 995 17 1
1200 20.000000 0 0 1024 0
1200 22.000000 0 0 1024 0
1200 24.000000 0 0 1024 0
1200 26.000000 0 0 1024 0
1200 28.000000 0 0 1024 0
1200 30.000000 0 0 1024 0
1200 32.000000 0 0 1024 0
1200 34.000000 0 0 1024 0
1200 36.000000 0 0 1024 0
1200 38.000000 0 0 1024 0
1200 40.000000 0 0 1024 0
1200 42.000000 0 0 1024 0
1200 44.000000 0 0 1024 0
1200 46.000000 0 0 1024 0
1200 48.000000 0 0 1024 0
1200 50.000000 17 985 22 1
3 0.000000 0 0 1024 0
3 5.000000 1002 1 21 1
3 10.000000 1001 2 21 1
3 15.000000 993 1 30 1
3 20.000000 996 3 25 1
3 25.000000 1004 4 16 1
3 30.000000 988 3 33 1
3 35.000000 995 1 28 1
3 40.000000 999 4 21 1
3 45.000000 1009 3 12 1
3 50.000000 999 2 23 1
6 0.000000 0 0 1024 0
6 5.000000 995 2 27 1
6 10.000000 997 3 24 1
6 15.000000 1009 1 14 1
6 20.000000 1002 0 22 2
6 25.000000 1004 2 18 1
6 30.000000 1000 2 22 1
6 35.000000 1009 3 12 1
6 40.000000 997 5 22 1
6 45.000000 999 1 24 1
6 50.000000 999 1 24 1
9 0.000000 0 0 1024 0
9 5.000000 1004 2 18 1
9 10.000000 996 2 26 1
9 15.000000 996 4 24 1
9 20.000000 996 1 27 1
9 25.000000 993 1 30 1
9 30.000000 1000 7 17 1
9 35.000000 1000 4 20 1
9 40.000000 999 6 19 1
9 45.000000 995 2 27 1
9 50.000000 1001 3 20 1
