T A_init L S Dead Code
1050 40.000000 32 973 19 1
1050 45.000000 29 969 26 1
1050 50.000000 36 970 18 1
1050 2.500000 0 0 1024 0
1050 7.500000 0 0 1024 0
1050 12.500000 0 0 1024 0
1050 17.500000 0 0 1024 0
1050 22.500000 0 0 1024 0
1050 27.500000 0 0 1024 0
1050 32.500000 0 0 1024 0
1050 37.500000 0 0 1024 0
1050 42.500000 14 986 24 1
1050 47.500000 50 956 18 1
1075 0.000000 0 0 1024 0
1075 5.000000 0 0 1024 0
1075 10.000000 0 0 1024 0
1075 15.000000 0 0 1024 0
1075 20.000000 0 0 1024 0
1075 25.000000 0 0 1024 0
1075 30.000000 0 0 1024 0
1075 35.000000 0 0 1024 0
1075 40.000000 0 0 1024 0
1075 45.000000 55 946 23 1
1075 50.000000 48 957 19 1
1075 2.500000 0 0 1024 0
1075 7.500000 0 0 1024 0
1075 12.500000 0 0 1024 0
1075 17.500000 0 0 1024 0
1075 22.500000 0 0 1024 0
1075 27.500000 0 0 1024 0
1075 32.500000 0 0 1024 0
1075 37.500000 0 0 1024 0
1075 42.500000 0 0 1024 0
1075 47.500000 36 956 32 1
1100 0.000000 0 0 1024 0
1100 5.000000 0 0 1024 0
1100 10.000000 0 0 1024 0
1100 15.000000 0 0 1024 0
1100 20.000000 0 0 1024 0
1100 25.000000 0 0 1024 0
1100 30.000000 0 0 1024 0
1100 35.000000 0 0 1024 0
1100 40.000000 0 0 1024 0
1100 45.000000 0 0 1024 0
1100 50.000000 879 127 18 1
1100 2.500000 0 0 1024 0
1100 7.500000 0 0 1024 0
1100 12.500000 0 0 1024 0
1100 17.500000 0 0 1024 0
1100 22.500000 0 0 1024 0
1100 27.500000 0 0 1024 0
1100 32.500000 0 0 1024 0
1100 37.500000 0 0 1024 0
1100 42.500000 0 0 1024 0
1100 47.500000 0 0 1024 0
1125 0.000000 0 0 1024 0
1125 5.000000 0 0 1024 0
1125 10.000000 0 0 1024 0
1125 15.000000 0 0 1024 0
1125 20.000000 0 0 1024 0
1125 25.000000 0 0 1024 0
1125 30.000000 0 0 1024 0
1125 35.000000 0 0 1024 0
1125 40.000000 0 0 1024 0
1125 45.000000 0 0 1024 0
1125 50.000000 0 0 1024 0
1125 2.500000 0 0 1024 0
1125 7.500000 0 0 1024 0
1125 12.500000 0 0 1024 0
1125 17.500000 0 0 1024 0
1125 22.500000 0 0 1024 0
1125 27.500000 0 0 1024 0
1125 32.500000 0 0 1024 0
1125 37.500000 0 0 1024 0
1125 42.500000 0 0 1024 0
1125 47.500000 0 0 1024 0
1150 0.000000 0 0 1024 0
1150 5.000000 0 0 1024 0
1150 10.000000 0 0 1024 0
1150 15.000000 0 0 1024 0
1150 20.000000 0 0 1024 0
1150 25.000000 0 0 1024 0
1150 30.000000 0 0 1024 0
1150 35.000000 0 0 1024 0
1150 40.000000 0 0 1024 0
1150 45.000000 0 0 1024 0
1150 50.000000 0 0 1024 0
1200 0.000000 0 0 1024 0
1200 5.000000 0 0 1024 0
1200 10.000000 0 0 1024 0
1200 15.000000 0 0 1024 0
1200 20.000000 0 0 1024 0
1200 25.000000 0 0 1024 0
1200 30.000000 0 0 1024 0
1200 35.000000 0 0 1024 0
1200 40.000000 0 0 1024 0
1200 45.000000 0 0 1024 0
1200 50.000000 0 0 1024 0
1250 0.000000 0 0 1024 0
1250 5.000000 0 0 1024 0
1250 10.000000 0 0 1024 0
1250 15.000000 0 0 1024 0
1250 20.000000 0 0 1024 0
1250 25.000000 0 0 1024 0
1250 30.000000 0 0 1024 0
1250 35.000000 0 0 1024 0
1250 40.000000 0 0 1024 0
1250 45.000000 0 0 1024 0
1250 50.000000 0 0 1024 0
1300 0.000000 0 0 1024 0
1300 5.000000 0 0 1024 0
1300 10.000000 0 0 1024 0
1300 15.000000 0 0 1024 0
1300 20.000000 0 0 1024 0
1300 25.000000 0 0 1024 0
1300 30.000000 0 0 1024 0
1300 35.000000 0 0 1024 0
1300 40.000000 0 0 1024 0
1300 45.000000 0 0 1024 0
1300 50.000000 0 0 1024 0
1350 0.000000 0 0 1024 0
1350 5.000000 0 0 1024 0
1350 10.000000 0 0 1024 0
1350 15.000000 0 0 1024 0
1350 20.000000 0 0 1024 0
1350 25.000000 0 0 1024 0
1350 30.000000 0 0 1024 0
1350 35.000000 0 0 1024 0
1350 40.000000 0 0 1024 0
